game,gameLabel,genreLabel,esrbRatingLabel,pegiRatingLabel,year
http://www.wikidata.org/entity/Q55381988,Hypercharge: Unboxed,приключенческая компьютерная игра,Teen,,2025
http://www.wikidata.org/entity/Q55381988,Hypercharge: Unboxed,экшен,Teen,,2025
http://www.wikidata.org/entity/Q55381988,Hypercharge: Unboxed,приключенческий экшен,Teen,,2025
http://www.wikidata.org/entity/Q55381988,Hypercharge: Unboxed,стратегическая компьютерная игра,Teen,,2025
http://www.wikidata.org/entity/Q55381988,Hypercharge: Unboxed,казуальная игра,Teen,,2025
http://www.wikidata.org/entity/Q113713963,Rift of the NecroDancer,музыкальная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q105701093,World’s End Club,головоломка,Teen,PEGI 16,2025
http://www.wikidata.org/entity/Q105701093,World’s End Club,приключенческий экшен,Teen,PEGI 16,2025
http://www.wikidata.org/entity/Q105701093,World’s End Club,постапокалиптическая компьютерная игра,Teen,PEGI 16,2025
http://www.wikidata.org/entity/Q107424323,Touhou: Scarlet Curiosity,action RPG,Teen,,2025
http://www.wikidata.org/entity/Q58045522,Deltarune,компьютерная ролевая игра,Teen,,2025
http://www.wikidata.org/entity/Q58045522,Deltarune,компьютерная игра с ЛГБТ-персонажем,Teen,,2025
http://www.wikidata.org/entity/Q58045522,Deltarune,non-binary characters in fiction,Teen,,2025
http://www.wikidata.org/entity/Q59595234,Crystar,action RPG,Teen,,2025
http://www.wikidata.org/entity/Q59639286,Utawarerumono Zan,экшен,Teen,,2025
http://www.wikidata.org/entity/Q548203,Red Dead Redemption,приключенческий экшен,Mature 17+,PEGI 18,2025
http://www.wikidata.org/entity/Q937383,Fear Effect,приключенческий экшен,Mature 17+,,2025
http://www.wikidata.org/entity/Q937383,Fear Effect,киберпанк-игра,Mature 17+,,2025
http://www.wikidata.org/entity/Q937383,Fear Effect,ЛГБТ-игра,Mature 17+,,2025
http://www.wikidata.org/entity/Q110028406,Star Trek: Resurgence,приключенческая компьютерная игра,Teen,,2025
http://www.wikidata.org/entity/Q15635717,Hyperdevotion Noire: Goddess Black Heart,тактическая ролевая игра,Teen,,2025
http://www.wikidata.org/entity/Q110448656,Q110448656,приключенческий экшен,Teen,,2025
http://www.wikidata.org/entity/Q110448656,Q110448656,хоррор-игра,Teen,,2025
http://www.wikidata.org/entity/Q110999026,Street Fighter 6,файтинг,Teen,,2025
http://www.wikidata.org/entity/Q126462072,Q126462072,фэнтези,Mature 17+,PEGI 18,2025
http://www.wikidata.org/entity/Q126462072,Q126462072,компьютерная ролевая игра,Mature 17+,PEGI 18,2025
http://www.wikidata.org/entity/Q126462072,Q126462072,японская ролевая игра,Mature 17+,PEGI 18,2025
http://www.wikidata.org/entity/Q126462072,Q126462072,пошаговая ролевая игра,Mature 17+,PEGI 18,2025
http://www.wikidata.org/entity/Q130545091,MindsEye,приключенческий экшен,Mature 17+,PEGI 18,2025
http://www.wikidata.org/entity/Q131391938,Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles 2,файтинг,Mature 17+,,2025
http://www.wikidata.org/entity/Q133807512,Yakuza 0: Director's Cut,приключенческий экшен,Mature 17+,,2025
http://www.wikidata.org/entity/Q134723506,Deadpool VR,приключенческий экшен,Mature 17+,,2025
http://www.wikidata.org/entity/Q23013242,Sniper Elite 4,шутер от третьего лица,Mature 17+,,2025
http://www.wikidata.org/entity/Q23013242,Sniper Elite 4,стелс,Mature 17+,,2025
http://www.wikidata.org/entity/Q23013242,Sniper Elite 4,тактический шутер,Mature 17+,,2025
http://www.wikidata.org/entity/Q15297043,No Man's Sky,приключенческий экшен,Teen,PEGI 12,2025
http://www.wikidata.org/entity/Q15297043,No Man's Sky,космический симулятор,Teen,PEGI 12,2025
http://www.wikidata.org/entity/Q15297043,No Man's Sky,симулятор выживания,Teen,PEGI 12,2025
http://www.wikidata.org/entity/Q15297043,No Man's Sky,научно-фантастическая компьютерная игра,Teen,PEGI 12,2025
http://www.wikidata.org/entity/Q110797871,Wylde Flowers,компьютерная ролевая игра,Teen,,2025
http://www.wikidata.org/entity/Q110797871,Wylde Flowers,симулятор,Teen,,2025
http://www.wikidata.org/entity/Q110797871,Wylde Flowers,романтическая компьютерная игра,Teen,,2025
http://www.wikidata.org/entity/Q110797871,Wylde Flowers,фэнтезийная компьютерная игра,Teen,,2025
http://www.wikidata.org/entity/Q16259349,Castle of Shikigami III,bullet hell,Teen,,2025
http://www.wikidata.org/entity/Q16259349,Castle of Shikigami III,shoot ’em up,Teen,,2025
http://www.wikidata.org/entity/Q1185325,Dementium: The Ward,шутер от первого лица,Mature 17+,PEGI 18,2025
http://www.wikidata.org/entity/Q1185325,Dementium: The Ward,survival horror,Mature 17+,PEGI 18,2025
http://www.wikidata.org/entity/Q63294487,Hollow Knight: Silksong,приключенческий экшен,рейтинг ожидается,PEGI 7,2025
http://www.wikidata.org/entity/Q63294487,Hollow Knight: Silksong,метроидвания,рейтинг ожидается,PEGI 7,2025
http://www.wikidata.org/entity/Q63294487,Hollow Knight: Silksong,соулсвания,рейтинг ожидается,PEGI 7,2025
